tiempo,corriente,voltaje,potencia,SOC
241.0,-0.111963,3.568246,-0.3995115268979999,0.4022143517115386
242.0,-0.1107515,3.567928,-0.395153377892,0.4022188726255343
243.0,-0.1085355,3.567604,-0.387211683942,0.4022233239642095
244.0,-0.106034,3.567331,-0.3782583752539999,0.40222767954166677
245.0,-0.105822,3.567042,-0.3774715185239999,0.40223198003739324
246.0,-0.101628,3.566603,-0.362466729684,0.40223619109508557
247.0,-0.103888,3.566245,-0.3704900605599999,0.4022403628942309
248.0,-0.100979,3.565948,-0.360085863092,0.40224452151923085
249.0,-0.099697,3.565624,-0.355482015928,0.4022485950705129
250.0,-0.0984035,3.565344,-0.350842328304,0.40225261634134624
251.0,-0.0978205,3.565049,-0.3487348757045,0.4022565995208334
252.0,-0.0959425,3.564717,-0.3420078607725,0.40226053274412404
253.0,-0.0934865,3.564284,-0.333212436166,0.4022643779909189
254.0,-0.0931305,3.564071,-0.3319237142655,0.4022681661565172
255.0,-0.089927,3.563713,-0.320474018951,0.40227188206730785
256.0,-0.0619745,3.557947,-0.2205019863515,0.4022749655379275
257.0,-0.0595905,3.557334,-0.211983311727,0.4022774332035258
258.0,-0.0585495,3.557021,-0.2082618010395,0.4022798313445515
259.0,-0.055165,3.556666,-0.1962034798899999,0.4022821396517096
260.0,-0.0543825,3.556294,-0.193400158455,0.40228436337232926
261.0,-0.052406,3.555955,-0.18635337773,0.40228653108760704
262.0,-0.0523905,3.555595,-0.1862793998475,0.40228865836698735
263.0,-0.050893,3.555241,-0.180936880213,0.4022907549337609
264.0,-0.0483415,3.554829,-0.1718457661035,0.4022927693092951
265.0,-0.0473885,3.554476,-0.168441285926,0.4022947125464746
266.0,-0.044776,3.55411,-0.15913882936,0.4022965834070515
267.0,-0.0448925,3.553793,-0.1595386522525,0.40229840360096175
268.0,-0.0425095,3.553442,-0.151055042699,0.40230017778685917
269.0,-0.0406815,3.553033,-0.1445427119895,0.40230186649305577
270.0,-0.038391,3.552691,-0.136391360181,0.40230347159722246
271.0,-0.03705,3.552326,-0.1316136782999999,0.40230500298504296
272.0,-0.036108,3.551959,-0.128254135572,0.40230648802991475
273.0,-0.03438,3.551481,-0.12209991678,0.4023079188760686
274.0,-0.034497,3.55116,-0.1225043665199999,0.4023093170202994
275.0,-0.030524,3.550811,-0.108384954964,0.40231063689102586
276.0,-0.028966,3.550454,-0.102842450564,0.4023118444871797
